序号,书名,作家,译者,出版社,初版时间,定价,评分,评分人数,简述,图片链接
71,诗经,孔丘 编订,,北京出版社,2006-7,19.90元,9.4,24609,思无邪,https://img2.doubanio.com/view/subject/s/public/s1979223.jpg
72,台北人,白先勇,,广西师范大学出版社,2010-10,38.00元,8.9,57411,白先勇短篇小说集,https://img9.doubanio.com/view/subject/s/public/s4526465.jpg
73,哭泣的骆驼,三毛,,哈尔滨出版社,2003-6,15.80元,8.9,53289,沙漠中寻常的生与死,https://img9.doubanio.com/view/subject/s/public/s1020454.jpg
74,灿烂千阳,[美] 卡勒德·胡赛尼,李继宏,上海人民出版社,2007-9,28.00元,8.8,110339,唯有希望与爱可以驱散阴霾,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg
75,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,宁蒙,四川文艺出版社,2015-12,35.00元,9.0,53085,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,https://img3.doubanio.com/view/subject/s/public/s29071620.jpg
76,最好的告别,[美] 阿图·葛文德（Atul Gawande）,王一方 主编,浙江人民出版社,2015-7-31,54.90元,9.0,41066,关于衰老与死亡，你必须知道的常识,https://img1.doubanio.com/view/subject/s/public/s28260907.jpg
77,人间词话,王国维,,上海古籍出版社,1998-12,9.80元,9.0,49955,以新眼光评旧文学,https://img9.doubanio.com/view/subject/s/public/s1146614.jpg
78,窗边的小豆豆,[日] 黑柳彻子 著,赵玉皎,南海出版公司,2003-1,20.00元,8.8,191237,真正懂孩子的教育经,https://img2.doubanio.com/view/subject/s/public/s1067911.jpg
79,厌女,上野千鹤子,王兰,上海三联书店,2015-1,28.00元,9.0,39851,None,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg
80,唐诗三百首,蘅塘退士,,中华书局,1984-07-01,0.65,9.4,22241,熟读唐诗三百首，不会吟诗也会吟,https://img1.doubanio.com/view/subject/s/public/s1008848.jpg
81,看见,柴静,,广西师范大学出版社,2013-1-1,39.80元,8.8,317388,在这里看见中国,https://img1.doubanio.com/view/subject/s/public/s24514758.jpg
82,浪潮之巅,吴军,,电子工业出版社,2011-8,55.00元,9.0,31325,了解IT领域的入门读物,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg
83,呼兰河传,萧红,,百花文艺出版社,2005-01,19.00,8.9,74609,萧红的童年往事,https://img3.doubanio.com/view/subject/s/public/s1167060.jpg
84,孽子,白先勇,,广西师范大学出版社,2010.10,46.00元,9.1,33773,写给那一群，在最深最深的黑夜里，独自彷徨街头，无所依归的孩子们,https://img3.doubanio.com/view/subject/s/public/s6240330.jpg
85,美的历程,李泽厚,,生活·读书·新知三联书店,2009-7,43.00元,9.2,26088,中国美学经典之作,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg
86,道德经,黄元吉,,陕西人民出版社,1996-10,4.50元,9.5,17441,中国历史上首部完整的哲学著作,https://img2.doubanio.com/view/subject/s/public/s1045431.jpg
87,爱你就像爱生命,王小波,,上海锦绣文章出版社,2008-5,18.00元,8.8,104934,王小波与李银河的两地书,https://img2.doubanio.com/view/subject/s/public/s4661043.jpg
88,我们仨,杨绛,,生活·读书·新知三联书店,2003-7,18.80元,8.7,287102,家庭生活回忆录,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg
89,冬牧场,李娟,,新星出版社,2012-6,29.80元,9.0,27555,阿勒泰的精灵,https://img2.doubanio.com/view/subject/s/public/s8958901.jpg
90,巨人的陨落,[英] 肯·福莱特,于大卫,江苏凤凰文艺出版社,2016-5-1,129.80元,8.9,79097,五个家族，一场战争,https://img9.doubanio.com/view/subject/s/public/s28668834.jpg
91,海子的诗,海子,,人民文学出版社,1999-04,15.40,8.9,41549,None,https://img2.doubanio.com/view/subject/s/public/s1067491.jpg
92,教父,[美]马里奥·普佐,周汉林,译林出版社,1997-8,23.30元,9.0,37275,“教父三部曲”电影原著,https://img1.doubanio.com/view/subject/s/public/s2832939.jpg
93,人生的枷锁,[英] 毛姆,张柏然,上海译文出版社,2007-3,32.00元,9.0,26860,在混沌纷扰的生活漩流中，寻求人生的真谛,https://img1.doubanio.com/view/subject/s/public/s3983958.jpg
94,人生的智慧,(德)叔本华,韦启昌,上海人民出版社,2008-10-01,28.00元,9.2,27288,对世俗、实用问题深刻而透彻的讨论,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg
95,四世同堂,老舍,,北京十月文艺出版社,2008-07,36.00元,9.3,29790,北平沦陷时代广大平民的悲惨遭遇,https://img1.doubanio.com/view/subject/s/public/s3228699.jpg
96,美丽新世界,[英] 赫胥黎,陈超,上海译文出版社,2017-6,45.00元,9.1,36129,None,https://img9.doubanio.com/view/subject/s/public/s29477615.jpg
97,看不见的城市,[意] 伊塔洛·卡尔维诺,张密,译林出版社,2012-4,25.00元,9.0,28253,None,https://img1.doubanio.com/view/subject/s/public/s8972088.jpg
98,斯通纳,[美] 约翰·威廉斯,杨向荣,上海人民出版社,2016-1,49.00元,8.8,52040,即使不能拥有完美的生活，所幸追求过完整的自我,https://img2.doubanio.com/view/subject/s/public/s28332051.jpg
99,秋园,杨本芬,,北京联合出版公司,2020-6,38.00元,8.9,39978,None,https://img3.doubanio.com/view/subject/s/public/s33640730.jpg
